"Rank","Player","Team","Bye","POS","Yahoo","Fantrax","FFC","Sleeper","AVG"
"1","Christian McCaffrey","CAR","13","RB1","1","1","1","1","1.0"
"2","Dalvin Cook","MIN","7","RB2","2","2","2","2","2.0"
"3","Derrick Henry","TEN","13","RB3","3","3","4","3","3.3"
"4","Alvin Kamara","NO","6","RB4","4","4","3","4","3.8"
"5","Ezekiel Elliott","DAL","7","RB5","5","5","5","5","5.0"
"6","Nick Chubb","CLE","13","RB6","6","6","8","6","6.5"
"7","Aaron Jones","GB","13","RB7","7","9","6","9","7.8"
"8","Davante Adams","GB","13","WR1","11","8","7","11","9.3"
"9","Saquon Barkley","NYG","10","RB8","9","11","10","7","9.3"
"10","Jonathan Taylor","IND","14","RB9","10","7","13","8","9.5"
"11","Tyreek Hill","KC","12","WR2","8","12","12","10","10.5"
"12","Travis Kelce","KC","12","TE1","12","10","9","12","10.8"
"13","Austin Ekeler","LAC","7","RB10","14","13","11","13","12.8"
"14","Stefon Diggs","BUF","7","WR3","13","14","16","15","14.5"
"15","Najee Harris","PIT","7","RB11","16","16","14","14","15.0"
"16","Antonio Gibson","WAS","9","RB12","17","15","15","21","17.0"
"17","DeAndre Hopkins","ARI","12","WR4","19","18","18","16","17.8"
"18","Patrick Mahomes II","KC","12","QB1","15","17","22","19","18.3"
"19","Joe Mixon","CIN","10","RB13","22","20","17","17","19.0"
"20","D.K. Metcalf","SEA","9","WR5","20","19","21","18","19.5"
"21","Calvin Ridley","ATL","6","WR6","18","21","20","20","19.8"
"22","Clyde Edwards-Helaire","KC","12","RB14","24","22","19","22","21.8"
"23","Darren Waller","LV","8","TE2","25","23","23","25","24.0"
"24","Justin Jefferson","MIN","7","WR7","21","24","24","28","24.3"
"25","A.J. Brown","TEN","13","WR8","23","25","26","24","24.5"
"26","George Kittle","SF","6","TE3","31","26","30","23","27.5"
"27","David Montgomery","CHI","10","RB15","33","27","27","27","28.5"
"28","Keenan Allen","LAC","7","WR9","32","28","29","26","28.8"
"29","Chris Carson","SEA","9","RB16","34","30","25","29","29.5"
"30","Terry McLaurin","WAS","9","WR10","28","32","31","30","30.3"
"31","Josh Jacobs","LV","8","RB17","38","31","28","31","32.0"
"32","Josh Allen","BUF","7","QB2","29","29","36","35","32.3"
"33","Allen Robinson II","CHI","10","WR11","30","33","34","33","32.5"
"34","CeeDee Lamb","DAL","7","WR12","35","34","33","36","34.5"
"35","D'Andre Swift","DET","9","RB18","41","35","35","32","35.8"
"36","Mike Evans","TB","9","WR13","36","37","39","34","36.5"
"37","Miles Sanders","PHI","14","RB19","40","38","38","37","38.3"
"38","Kyler Murray","ARI","12","QB3","45","39","41","38","40.8"
"39","Chris Godwin","TB","9","WR14","37","41","47","40","41.3"
"40","Robert Woods","LAR","11","WR15","44","40","40","43","41.8"
"41","Amari Cooper","DAL","7","WR16","43","43","44","42","43.0"
"42","Julio Jones","TEN","13","WR17","48","42","46","39","43.8"
"43","Lamar Jackson","BAL","8","QB4","39","47","50","45","45.3"
"44","Cooper Kupp","LAR","11","WR18","42","46","48","46","45.5"
"45","James Robinson","JAC","7","RB20","62","36","32","54","46.0"
"46","Darrell Henderson","LAR","11","RB21","46","66","37","41","47.5"
"47","Kyle Pitts","ATL","6","TE4","47","55","45","44","47.8"
"48","Myles Gaskin","MIA","14","RB22","58","44","43","51","49.0"
"49","Adam Thielen","MIN","7","WR19","52","45","54","50","50.3"
"50","Tyler Lockett","SEA","9","WR20","49","48","53","52","50.5"
"51","Kareem Hunt","CLE","13","RB23","57","49","49","49","51.0"
"52","Mark Andrews","BAL","8","TE5","50","54","55","48","51.8"
"53","Mike Davis","ATL","6","RB24","64","51","42","55","53.0"
"54","D.J. Moore","CAR","13","WR21","53","50","62","47","53.0"
"55","Diontae Johnson","PIT","7","WR22","63","52","51","53","54.8"
"56","T.J. Hockenson","DET","9","TE6","51","60","57","56","56.0"
"57","Dak Prescott","DAL","7","QB5","54","53","61","58","56.5"
"58","Russell Wilson","SEA","9","QB6","55","57","70","57","59.8"
"59","Brandon Aiyuk","SF","6","WR23","61","61","58","61","60.3"
"60","Justin Herbert","LAC","7","QB7","59","62","63","59","60.8"
"61","Aaron Rodgers","GB","13","QB8","60","56","67","66","62.3"
"62","Chase Edmonds","ARI","12","RB25","71","67","60","60","64.5"
"63","Raheem Mostert","SF","6","RB26","77","64","52","70","65.8"
"64","Javonte Williams","DEN","11","RB27","83","58","59","64","66.0"
"65","Tee Higgins","CIN","10","WR24","69","63","66","67","66.3"
"66","Damien Harris","NE","14","RB28","68","72","56","76","68.0"
"67","Chase Claypool","PIT","7","WR25","72","68","64","69","68.3"
"68","Odell Beckham Jr.","CLE","13","WR26","70","69","73","68","70.0"
"69","Ja'Marr Chase","CIN","10","WR27","81","59","80","62","70.5"
"70","Kenny Golladay","NYG","10","WR28","87","65","76","65","73.3"
"71","Tom Brady","TB","9","QB9","65","74","77","79","73.8"
"72","Ronald Jones II","TB","9","RB29","74","78","75","71","74.5"
"73","Michael Thomas","NO","6","WR29","100","76","65","63","76.0"
"74","Jerry Jeudy","DEN","11","WR30","89","75","71","72","76.8"
"75","Melvin Gordon III","DEN","11","RB30","93","73","74","74","78.5"
"76","Trey Sermon","SF","6","RB31","80","92","68","80","80.0"
"77","JuJu Smith-Schuster","PIT","7","WR31","91","71","90","75","81.8"
"78","Logan Thomas","WAS","9","TE7","78","85","72","93","82.0"
"79","Robby Anderson","CAR","13","WR32","86","77","86","82","82.8"
"80","Noah Fant","DEN","11","TE8","90","87","81","77","83.8"
"81","Gus Edwards","BAL","8","RB32","103","99","69","73","86.0"
"82","Courtland Sutton","DEN","11","WR33","101","80","85","78","86.0"
"83","Deebo Samuel","SF","6","WR34","92","83","92","81","87.0"
"84","Leonard Fournette","TB","9","RB33","96","82","88","86","88.0"
"85","DeVonta Smith","PHI","14","WR35","118","70","84","85","89.3"
"86","Michael Carter","NYJ","6","RB34","111","86","78","87","90.5"
"87","Matthew Stafford","LAR","11","QB10","99","90","87","89","91.3"
"88","Jalen Hurts","PHI","14","QB11","73","95","98","100","91.5"
"89","Tyler Boyd","CIN","10","WR36","102","79","97","88","91.5"
"90","Dallas Goedert","PHI","14","TE9","88","107","91","84","92.5"
"91","Robert Tonyan","GB","13","TE10","79","105","95","92","92.8"
"92","Antonio Brown","TB","9","WR37","105","88","83","96","93.0"
"93","Zack Moss","BUF","7","RB35","108","101","79","91","94.8"
"94","D.J. Chark Jr.","JAC","7","WR38","113","81","103","83","95.0"
"95","AJ Dillon","GB","13","RB36","106","93","82","102","95.8"
"96","Ryan Tannehill","TEN","13","QB12","97","91","94","101","95.8"
"97","James Conner","ARI","12","RB37","110","89","89","97","96.3"
"98","Los Angeles Rams","DST","11","DST1","67","104","114","112","99.3"
"99","Tyler Higbee","LAR","11","TE11","66","121","110","108","101.3"
"100","Brandin Cooks","HOU","10","WR39","114","94","107","90","101.3"
"101","David Johnson","HOU","10","RB38","104","113","101","104","105.5"
"102","Pittsburgh Steelers","DST","7","DST2","85","106","112","120","105.8"
"103","Kenyan Drake","LV","8","RB39","122","97","102","107","107.0"
"104","Tampa Bay Buccaneers","DST","9","DST3","84","120","126","99","107.3"
"105","Laviska Shenault Jr.","JAC","7","WR40","137","98","96","98","107.3"
"106","Jarvis Landry","CLE","13","WR41","126","84","127","94","107.8"
"107","Corey Davis","NYJ","6","WR42","119","103","105","106","108.3"
"108","Devin Singletary","BUF","7","RB40","130","102","93","115","110.0"
