"Rank","Player","Team","Bye","POS","MFL","Fantrax","FFC","Sleeper","AVG"
"1","Christian McCaffrey","CAR","13","RB1","1","1","1","1","1.0"
"2","Dalvin Cook","MIN","7","RB2","2","2","2","2","2.0"
"3","Derrick Henry","TEN","13","RB3","3","3","3","3","3.0"
"4","Alvin Kamara","NO","6","RB4","4","4","4","4","4.0"
"5","Nick Chubb","CLE","13","RB5","6","5","6","5","5.5"
"6","Ezekiel Elliott","DAL","7","RB6","5","6","5","7","5.8"
"7","Davante Adams","GB","13","WR1","8","8","8","9","8.3"
"8","Aaron Jones","GB","13","RB7","7","9","7","11","8.5"
"9","Saquon Barkley","NYG","10","RB8","9","10","10","6","8.8"
"10","Jonathan Taylor","IND","14","RB9","11","7","9","8","8.8"
"11","Tyreek Hill","KC","12","WR2","10","12","12","10","11.0"
"12","Travis Kelce","KC","12","TE1","13","11","11","12","11.8"
"13","Austin Ekeler","LAC","7","RB10","16","14","14","13","14.3"
"14","Najee Harris","PIT","7","RB11","14","15","13","16","14.5"
"15","Patrick Mahomes II","KC","12","QB1","12","17","16","14","14.8"
"16","Stefon Diggs","BUF","7","WR3","15","16","17","15","15.8"
"17","Antonio Gibson","WAS","9","RB12","18","13","15","21","16.8"
"18","D.K. Metcalf","SEA","9","WR4","17","18","19","19","18.3"
"19","Joe Mixon","CIN","10","RB13","19","19","18","20","19.0"
"20","DeAndre Hopkins","ARI","12","WR5","20","20","21","17","19.5"
"21","Calvin Ridley","ATL","6","WR6","21","21","22","18","20.5"
"22","Clyde Edwards-Helaire","KC","12","RB14","23","26","20","22","22.8"
"23","A.J. Brown","TEN","13","WR7","25","24","23","24","24.0"
"24","Justin Jefferson","MIN","7","WR8","24","23","25","29","25.3"
"25","Darren Waller","LV","8","TE2","30","25","26","26","26.8"
"26","Josh Jacobs","LV","8","RB15","26","29","24","30","27.3"
"27","Josh Allen","BUF","7","QB2","22","28","28","33","27.8"
"28","George Kittle","SF","6","TE3","35","22","32","23","28.0"
"29","David Montgomery","CHI","10","RB16","32","27","27","27","28.3"
"30","Keenan Allen","LAC","7","WR9","28","31","30","25","28.5"
"31","Chris Carson","SEA","9","RB17","27","30","29","32","29.5"
"32","Terry McLaurin","WAS","9","WR10","36","32","33","31","33.0"
"33","Mike Evans","TB","9","WR11","29","35","38","34","34.0"
"34","Miles Sanders","PHI","14","RB18","31","36","36","36","34.8"
"35","D'Andre Swift","DET","9","RB19","42","39","35","28","36.0"
"36","CeeDee Lamb","DAL","7","WR12","39","34","34","38","36.3"
"37","Kyler Murray","ARI","12","QB3","34","38","37","37","36.5"
"38","Allen Robinson II","CHI","10","WR13","41","37","39","35","38.0"
"39","James Robinson","JAC","7","RB20","45","33","31","52","40.3"
"40","Lamar Jackson","BAL","8","QB4","33","44","45","41","40.8"
"41","Julio Jones","TEN","13","WR14","46","40","44","39","42.3"
"42","Chris Godwin","TB","9","WR15","40","41","51","40","43.0"
"43","Robert Woods","LAR","11","WR16","44","42","43","43","43.0"
"44","Amari Cooper","DAL","7","WR17","49","43","48","42","45.5"
"45","Myles Gaskin","MIA","14","RB21","48","47","41","49","46.3"
"46","Adam Thielen","MIN","7","WR18","47","45","47","46","46.3"
"47","Kareem Hunt","CLE","13","RB22","52","46","50","44","48.0"
"48","Aaron Rodgers","GB","13","QB5","38","48","53","55","48.5"
"49","Kyle Pitts","ATL","6","TE4","56","59","42","45","50.5"
"50","Cooper Kupp","LAR","11","WR19","57","50","54","48","52.3"
"51","Russell Wilson","SEA","9","QB6","43","52","64","51","52.5"
"52","Dak Prescott","DAL","7","QB7","51","49","56","56","53.0"
"53","Mark Andrews","BAL","8","TE5","59","55","49","50","53.3"
"54","D.J. Moore","CAR","13","WR20","53","53","66","47","54.8"
"55","Tyler Lockett","SEA","9","WR21","58","51","58","53","55.0"
"56","Mike Davis","ATL","6","RB23","54","54","46","67","55.3"
"57","Darrell Henderson","LAR","11","RB24","63","63","40","63","57.3"
"58","Justin Herbert","LAC","7","QB8","50","58","63","58","57.3"
"59","Diontae Johnson","PIT","7","WR22","61","57","61","57","59.0"
"60","Raheem Mostert","SF","6","RB25","62","56","55","66","59.8"
"61","Chase Edmonds","ARI","12","RB26","55","69","65","59","62.0"
"62","T.J. Hockenson","DET","9","TE6","76","60","59","54","62.3"
"63","Javonte Williams","DEN","11","RB27","68","61","52","70","62.8"
"64","Brandon Aiyuk","SF","6","WR23","64","67","60","61","63.0"
"65","Odell Beckham Jr.","CLE","13","WR24","66","68","69","65","67.0"
"66","Damien Harris","NE","14","RB28","65","73","57","75","67.5"
"67","Melvin Gordon III","DEN","11","RB29","71","71","70","62","68.5"
"68","Chase Claypool","PIT","7","WR25","72","65","68","69","68.5"
"69","Michael Thomas","NO","6","WR26","73","77","62","64","69.0"
"70","Ja'Marr Chase","CIN","10","WR27","67","62","76","72","69.3"
"71","Tee Higgins","CIN","10","WR28","74","66","71","68","69.8"
"72","Tom Brady","TB","9","QB9","60","72","74","74","70.0"
"73","Kenny Golladay","NYG","10","WR29","78","64","81","60","70.8"
"74","Ronald Jones II","TB","9","RB30","82","74","73","73","75.5"
"75","Jerry Jeudy","DEN","11","WR30","81","78","75","77","77.8"
"76","JuJu Smith-Schuster","PIT","7","WR31","70","75","91","76","78.0"
"77","Gus Edwards","BAL","8","RB31","84","85","72","71","78.0"
"78","Leonard Fournette","TB","9","RB32","69","82","88","82","80.3"
"79","Courtland Sutton","DEN","11","WR32","79","84","86","80","82.3"
"80","Trey Sermon","SF","6","RB33","80","101","67","83","82.8"
"81","DeVonta Smith","PHI","14","WR33","93","70","82","91","84.0"
"82","Ryan Tannehill","TEN","13","QB10","75","86","92","86","84.8"
"83","Matthew Stafford","LAR","11","QB11","77","89","84","89","84.8"
"84","Robby Anderson","CAR","13","WR34","87","79","93","85","86.0"
"85","Logan Thomas","WAS","9","TE7","90","83","78","99","87.5"
"86","Deebo Samuel","SF","6","WR35","88","90","95","84","89.3"
"87","Tyler Boyd","CIN","10","WR36","89","76","102","92","89.8"
"88","D.J. Chark Jr.","JAC","7","WR37","97","87","97","79","90.0"
"89","Zack Moss","BUF","7","RB34","94","102","77","88","90.3"
"90","Michael Carter","NYJ","6","RB35","92","94","80","97","90.8"
"91","James Conner","ARI","12","RB36","96","80","89","102","91.8"
"92","Robert Tonyan","GB","13","TE8","85","108","87","87","91.8"
"93","AJ Dillon","GB","13","RB37","106","92","79","95","93.0"
"94","Antonio Brown","TB","9","WR38","100","91","83","105","94.8"
"95","Jalen Hurts","PHI","14","QB12","86","96","96","101","94.8"
"96","Noah Fant","DEN","11","TE9","103","93","106","81","95.8"
"97","Dallas Goedert","PHI","14","TE10","102","111","94","78","96.3"
"98","Jarvis Landry","CLE","13","WR39","91","81","115","98","96.3"
"99","Brandin Cooks","HOU","10","WR40","83","98","117","100","99.5"
"100","Devin Singletary","BUF","7","RB38","104","95","90","114","100.8"
"101","Rob Gronkowski","TB","9","TE11","130","100","85","96","102.8"
"102","Los Angeles Rams","DST","11","DST1","95","106","110","104","103.8"
"103","Joe Burrow","CIN","10","QB13","99","88","111","119","104.3"
"104","Pittsburgh Steelers","DST","7","DST2","105","97","103","118","105.8"
"105","Laviska Shenault Jr.","JAC","7","WR41","116","104","101","107","107.0"
"106","David Johnson","HOU","10","RB39","121","115","100","93","107.3"
"107","Corey Davis","NYJ","6","WR42","101","103","118","111","108.3"
"108","Kenyan Drake","LV","8","RB40","124","99","104","109","109.0"
