,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
1,Christian McCaffrey,CAR,RB,297.6,"1,304.7",11.9,96.8,786.1,4.3,2.5,0.0,0.0,0,0.0,0.0
2,Dalvin Cook,MIN,RB,316.6,"1,487.0",12.9,54.6,472.2,2.0,2.9,0.0,0.0,0,0.0,0.0
3,Derrick Henry,TEN,RB,338.2,"1,657.1",14.2,24.4,181.1,1.1,2.7,0.0,0.0,0,0.0,0.0
4,Alvin Kamara,NO,RB,206.8,945.7,9.7,80.3,688.3,3.5,1.9,0.0,0.0,0,0.0,0.0
5,Saquon Barkley,NYG,RB,268.9,"1,243.8",9.5,57.2,442.9,2.3,1.8,0.0,0.0,0,0.0,0.0
6,Jonathan Taylor,IND,RB,276.0,"1,286.0",11.0,42.3,323.1,1.8,1.9,0.0,0.0,0,0.0,0.0
7,Nick Chubb,CLE,RB,273.5,"1,371.1",11.1,28.6,225.6,1.0,1.9,0.0,0.0,0,0.0,0.0
8,Aaron Jones,GB,RB,232.1,"1,125.4",10.4,51.0,394.4,2.7,2.1,0.0,0.0,0,0.0,0.0
9,Ezekiel Elliott,DAL,RB,282.6,"1,212.0",9.5,52.6,391.6,2.4,2.9,0.0,0.0,0,0.0,0.0
10,Joe Mixon,CIN,RB,275.7,"1,162.2",8.1,50.2,367.2,2.9,2.0,0.0,0.0,0,0.0,0.0
11,Najee Harris,PIT,RB,257.4,"1,144.0",8.5,49.5,366.6,2.2,2.6,0.0,0.0,0,0.0,0.0
12,Austin Ekeler,LAC,RB,180.7,821.8,4.7,80.3,695.7,4.9,1.6,0.0,0.0,0,0.0,0.0
13,Antonio Gibson,WAS,RB,242.8,"1,090.5",9.7,45.4,331.1,1.4,2.1,0.0,0.0,0,0.0,0.0
14,Chris Carson,SEA,RB,231.3,"1,059.6",7.4,43.4,321.0,2.4,2.1,0.0,0.0,0,0.0,0.0
15,J.K. Dobbins,BAL,RB,212.0,"1,076.9",9.4,31.6,240.5,1.2,1.6,0.0,0.0,0,0.0,0.0
16,Clyde Edwards-Helaire,KC,RB,221.3,996.1,7.2,50.5,390.1,2.2,1.8,0.0,0.0,0,0.0,0.0
17,David Montgomery,CHI,RB,254.3,"1,064.0",8.1,38.6,304.8,1.6,1.9,0.0,0.0,0,0.0,0.0
18,D'Andre Swift,DET,RB,201.5,885.9,8.2,59.9,443.6,2.1,2.3,0.0,0.0,0,0.0,0.0
19,Josh Jacobs,LV,RB,251.2,"1,073.3",9.4,31.5,236.6,0.9,2.0,0.0,0.0,0,0.0,0.0
20,Miles Sanders,PHI,RB,220.5,"1,057.4",6.5,42.5,350.4,1.7,1.8,0.0,0.0,0,0.0,0.0
21,Darrell Henderson,LAR,RB,235.1,"1,010.2",7.7,32.4,268.9,1.6,1.8,0.0,0.0,0,0.0,0.0
22,Myles Gaskin,MIA,RB,215.9,917.3,6.1,47.9,371.2,1.9,2.1,0.0,0.0,0,0.0,0.0
23,Mike Davis,ATL,RB,223.6,882.4,6.5,48.8,311.8,1.7,1.9,0.0,0.0,0,0.0,0.0
24,Chase Edmonds,ARI,RB,171.4,763.1,4.9,52.4,384.0,2.9,1.5,0.0,0.0,0,0.0,0.0
25,Kareem Hunt,CLE,RB,155.7,689.1,5.6,38.5,314.1,2.5,1.3,0.0,0.0,0,0.0,0.0
26,Travis Etienne,JAC,RB,130.6,582.3,4.1,60.2,478.9,2.6,3.0,0.0,0.0,0,0.0,0.0
27,Javonte Williams,DEN,RB,188.2,835.9,5.5,25.8,202.4,1.1,2.0,0.0,0.0,0,0.0,0.0
28,Raheem Mostert,SF,RB,155.3,773.5,6.0,23.8,206.8,1.3,1.4,0.0,0.0,0,0.0,0.0
29,James Robinson,JAC,RB,182.8,798.6,5.5,29.3,209.5,1.0,1.5,0.0,0.0,0,0.0,0.0
30,Damien Harris,NE,RB,203.0,950.9,5.6,11.5,87.6,0.3,1.4,0.0,0.0,0,0.0,0.0
31,David Johnson,HOU,RB,147.8,618.9,4.7,37.0,329.0,2.3,1.5,0.0,0.0,0,0.0,0.0
32,Leonard Fournette,TB,RB,166.8,684.1,6.4,31.0,213.3,0.8,1.2,0.0,0.0,0,0.0,0.0
