"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","605.3","400.2","4,571.5","34.0","13.3","110.9","520.3","7.7","5.1","380.1"
"Patrick Mahomes II","KC","630.6","419.0","5,027.8","38.8","9.1","55.3","267.2","2.9","2.5","377.4"
"Kyler Murray","ARI","590.8","391.1","4,214.1","26.7","12.9","126.5","702.4","7.7","3.7","358.9"
"Lamar Jackson","BAL","462.4","296.3","3,377.9","28.3","12.2","152.9","919.7","6.7","4.0","348.1"
"Dak Prescott","DAL","623.7","416.5","4,852.3","31.1","11.1","63.4","296.6","4.0","4.2","341.7"
"Russell Wilson","SEA","570.0","380.3","4,245.8","34.4","12.3","83.1","447.4","2.1","3.5","333.0"
"Aaron Rodgers","GB","572.2","385.8","4,449.9","36.8","7.2","39.9","168.6","1.9","3.1","333.0"
"Justin Herbert","LAC","616.0","399.7","4,579.1","30.5","12.0","61.5","273.2","4.4","2.6","329.4"
"Tom Brady","TB","621.4","404.6","4,697.2","36.9","11.9","24.5","31.5","2.1","2.2","323.0"
"Jalen Hurts","PHI","540.2","330.1","3,732.9","22.4","14.4","134.1","691.5","5.9","4.8","305.3"
"Ryan Tannehill","TEN","527.8","349.0","4,123.6","30.5","10.5","51.8","229.8","3.5","2.9","304.0"
"Joe Burrow","CIN","612.7","400.2","4,315.4","26.2","11.8","54.1","227.4","3.0","4.2","286.5"
"Matthew Stafford","LAR","613.2","405.8","4,571.3","28.3","11.5","32.3","122.9","0.7","3.2","283.3"
"Matt Ryan","ATL","612.1","400.1","4,499.9","27.1","12.7","33.0","117.7","1.4","4.3","274.3"
"Kirk Cousins","MIN","541.6","364.1","4,272.7","29.8","13.0","35.3","114.2","1.1","4.1","274.0"
"Trevor Lawrence","JAC","593.6","381.4","4,174.4","24.6","13.8","66.1","318.6","2.0","5.2","271.7"
"Baker Mayfield","CLE","543.8","346.9","3,994.0","28.0","11.5","44.2","168.4","1.8","3.4","269.7"
"Tua Tagovailoa","MIA","574.4","374.2","3,945.2","25.9","13.5","55.7","211.7","2.8","1.7","268.7"
"Derek Carr","LV","564.9","374.3","4,310.6","26.6","10.9","30.4","106.9","1.8","5.2","267.9"
"Ryan Fitzpatrick","WAS","583.3","385.6","4,119.8","23.4","16.6","50.8","244.9","3.0","2.3","263.3"
"Ben Roethlisberger","PIT","617.6","400.6","4,173.9","29.5","14.0","20.9","45.0","0.5","2.2","260.2"
"Daniel Jones","NYG","546.7","342.3","3,749.9","22.4","13.6","70.6","403.4","2.6","8.5","251.4"
"Sam Darnold","CAR","556.5","350.8","3,922.9","22.2","15.0","50.3","220.0","3.3","3.9","249.8"
"Carson Wentz","IND","532.1","332.8","3,648.5","24.5","12.9","58.3","253.5","2.8","5.9","248.6"
"Zach Wilson","NYJ","555.0","351.3","3,951.8","21.5","15.4","63.7","302.4","2.2","5.5","245.9"
"Trey Lance","SF","432.7","281.1","3,261.8","20.9","11.3","81.4","410.1","3.3","4.0","244.4"
"Jared Goff","DET","579.6","371.3","4,155.5","22.7","14.7","39.9","89.3","1.7","4.2","238.2"
"Justin Fields","CHI","469.8","300.0","3,215.5","20.3","11.4","72.1","360.4","2.9","5.0","230.6"
"Jameis Winston","NO","439.8","283.7","3,179.5","21.8","14.4","42.0","177.6","1.0","4.2","201.0"
"Cam Newton","NE","307.8","201.2","2,220.2","13.0","9.8","84.8","361.3","5.7","2.3","186.6"
