"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","CAR","290.1","1,218.2","11.7","97.4","811.5","4.2","2.5","293.8"
"Dalvin Cook","MIN","309.4","1,452.6","13.3","56.0","483.5","1.3","2.9","275.4"
"Derrick Henry","TEN","348.3","1,670.5","13.8","25.6","192.2","1.0","2.7","269.9"
"Saquon Barkley","NYG","284.5","1,296.9","9.9","57.3","439.9","1.6","1.8","238.9"
"Nick Chubb","CLE","281.3","1,440.9","10.6","28.4","239.3","0.7","1.9","232.2"
"Alvin Kamara","NO","210.5","949.9","8.7","82.2","677.0","3.3","1.9","230.5"
"Aaron Jones","GB","227.4","1,115.6","9.8","55.6","432.6","2.9","2.1","226.9"
"Jonathan Taylor","IND","274.4","1,218.9","10.4","45.1","346.7","1.8","1.9","226.0"
"Ezekiel Elliott","DAL","294.7","1,206.3","10.1","48.5","349.6","2.0","3.0","222.0"
"Cam Akers","LAR","273.4","1,239.9","9.1","32.5","324.1","1.9","2.0","218.5"
"Austin Ekeler","LAC","178.7","809.1","3.9","85.3","771.7","5.4","2.1","210.1"
"Joe Mixon","CIN","267.2","1,075.1","7.7","49.1","362.4","3.4","2.0","206.6"
"J.K. Dobbins","BAL","210.1","1,097.8","10.1","29.7","229.6","0.7","1.6","194.2"
"Najee Harris","PIT","238.7","988.6","8.1","51.0","382.2","1.9","2.6","191.7"
"Miles Sanders","PHI","218.4","1,074.5","6.3","44.4","376.1","1.7","1.8","189.4"
"Antonio Gibson","WAS","231.6","1,030.3","9.5","41.6","293.1","0.7","2.1","189.1"
"D'Andre Swift","DET","194.0","818.9","8.5","64.4","474.6","2.0","2.3","187.5"
"Josh Jacobs","LV","253.6","1,054.4","9.6","30.7","232.7","0.5","2.0","185.3"
"Chris Carson","SEA","221.1","1,009.6","7.0","42.3","305.3","2.4","2.1","184.3"
"Clyde Edwards-Helaire","KC","208.1","939.2","7.0","45.8","367.2","1.6","1.7","178.8"
"David Montgomery","CHI","237.7","972.3","7.6","36.2","293.3","1.6","1.9","177.9"
"Myles Gaskin","MIA","205.0","840.6","5.4","50.2","401.8","2.0","2.1","164.3"
"Mike Davis","ATL","214.2","788.6","6.1","53.3","346.3","2.1","1.9","158.8"
"Chase Edmonds","ARI","155.6","703.7","4.1","52.7","399.2","3.8","1.5","154.9"
"Travis Etienne","JAC","136.3","617.3","4.3","64.7","541.7","2.4","1.9","152.6"
"Raheem Mostert","SF","164.1","842.4","6.3","25.3","236.9","1.6","1.4","152.5"
"Melvin Gordon III","DEN","210.5","921.5","6.8","31.2","192.5","1.1","3.0","152.4"
"Kareem Hunt","CLE","153.5","680.5","6.4","37.2","312.9","2.8","1.3","151.8"
"Leonard Fournette","TB","172.2","700.3","7.0","45.2","323.9","1.2","1.2","149.0"
