"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","112.3","1,400.5","10.1","0.8","199.3"
"George Kittle","SF","96.3","1,206.0","6.5","0.7","158.4"
"Darren Waller","LV","100.3","1,145.2","7.1","0.9","155.6"
"Mark Andrews","BAL","69.8","849.8","8.1","0.9","131.8"
"Kyle Pitts","ATL","69.0","832.8","6.4","1.2","119.0"
"T.J. Hockenson","DET","75.3","834.7","5.2","0.8","113.2"
"Dallas Goedert","PHI","63.9","704.0","5.1","0.7","99.7"
"Tyler Higbee","LAR","59.9","668.3","5.3","0.6","97.3"
"Robert Tonyan","GB","54.1","592.7","6.3","0.1","96.5"
"Noah Fant","DEN","62.1","692.3","4.4","0.6","94.5"
"Logan Thomas","WAS","62.9","647.2","4.9","0.6","93.1"
"Mike Gesicki","MIA","55.4","619.6","5.3","0.7","92.2"
"Irv Smith Jr.","MIN","52.0","575.9","5.5","0.7","89.1"
"Rob Gronkowski","TB","42.2","549.2","5.5","0.2","87.8"
"Jared Cook","LAC","45.9","575.2","5.1","0.6","87.0"
"Eric Ebron","PIT","58.1","573.3","4.5","0.7","83.3"
"Hunter Henry","NE","53.7","583.4","4.2","0.6","82.3"
"Jonnu Smith","NE","53.5","562.1","4.4","0.7","81.1"
"Blake Jarwin","DAL","50.3","567.1","4.1","0.7","80.2"
"Adam Trautman","NO","51.0","558.0","4.1","0.7","79.3"
"Evan Engram","NYG","57.5","582.8","3.6","0.7","78.9"
"Austin Hooper","CLE","49.5","496.8","4.5","0.6","75.2"
"Anthony Firkser","TEN","48.4","519.3","3.8","0.1","74.7"
"Cole Kmet","CHI","48.2","479.4","3.7","1.2","67.8"
"Zach Ertz","PHI","46.5","473.6","3.3","0.6","65.7"
"Gerald Everett","SEA","42.0","432.5","3.9","0.6","65.5"
"Jordan Akins","HOU","44.1","467.6","2.8","0.1","63.5"
"Dawson Knox","BUF","33.4","384.3","3.5","0.6","58.3"
"Hayden Hurst","ATL","38.5","405.2","2.9","0.1","58.0"
"C.J. Uzomah","CIN","36.8","357.5","3.2","0.1","55.0"
"Chris Herndon IV","NYJ","39.2","394.3","3.0","1.6","54.3"
"Jack Doyle","IND","34.2","353.8","3.2","0.2","54.2"
"Mo Alie-Cox","IND","33.2","360.3","2.6","0.6","50.5"
"Will Dissly","SEA","30.3","317.5","3.0","0.1","49.5"
"Donald Parham Jr.","LAC","28.0","339.9","2.5","0.1","48.8"
"O.J. Howard","TB","26.7","339.2","2.4","0.7","47.2"
"Dan Arnold","CAR","27.5","345.0","2.3","0.7","47.0"
"David Njoku","CLE","24.0","259.0","2.6","0.0","41.5"
"Tyler Conklin","MIN","26.2","275.3","2.1","0.1","39.9"
"Jacob Hollister","BUF","29.1","263.8","2.3","0.6","39.2"
"Jimmy Graham","CHI","22.8","238.1","2.6","0.1","39.1"
"Dalton Schultz","DAL","23.4","243.1","2.0","0.1","36.2"
"Maxx Williams","ARI","21.4","236.8","2.0","0.1","35.3"
"Nick Boyle","BAL","23.2","216.9","2.1","0.0","34.2"
"Geoff Swaim","TEN","23.2","216.1","1.8","0.1","32.2"
"Kyle Rudolph","NYG","23.1","212.3","1.8","0.1","31.8"
"Cameron Brate","TB","22.0","206.1","1.8","0.0","31.1"
"Drew Sample","CIN","24.5","231.5","1.4","0.6","30.5"
"James O'Shaughnessy","JAC","24.2","239.1","1.0","0.1","30.0"
"Harrison Bryant","CLE","19.1","206.0","1.8","1.1","29.6"
"Darren Fells","DET","18.2","188.3","1.6","0.0","28.3"
"Foster Moreau","LV","13.9","152.2","2.1","0.1","27.9"
"Albert Okwuegbunam","DEN","16.6","174.1","1.4","0.1","25.6"
"Adam Shaheen","MIA","16.3","164.1","1.9","1.0","25.5"
"Ryan Izzo","HOU","12.9","213.0","1.0","1.0","25.3"
"Tyler Kroft","NYJ","14.7","149.2","1.7","0.1","25.1"
"Pat Freiermuth","PIT","19.8","178.9","1.3","0.5","24.8"
"Hunter Long","MIA","18.6","175.7","1.3","0.5","24.1"
"Ian Thomas","CAR","18.0","159.3","1.3","0.0","23.5"
"Pharaoh Brown","HOU","15.0","162.6","1.2","0.1","23.4"
"Chris Manhertz","JAC","16.0","158.6","1.0","0.0","21.7"
"Jacob Harris","LAR","12.7","158.4","0.9","0.0","21.2"
"Noah Gray","KC","14.4","146.8","1.1","0.5","20.4"
"Matt Sokol","LAC","13.0","140.0","1.0","0.0","20.0"
"Reggie Gilliam","BUF","11.0","77.0","2.0","0.0","19.7"
"Marcedes Lewis","GB","10.9","115.1","1.3","0.0","19.5"
"Darrell Daniels","ARI","12.8","136.3","1.0","0.1","19.5"
"Brevin Jordan","HOU","12.8","131.5","1.2","0.5","19.5"
"Kyle Markway","LAR","13.0","130.0","1.0","0.0","19.0"
"Nick Vannett","NO","11.9","127.6","1.0","0.1","18.5"
"Kahale Warring","HOU","13.0","133.4","0.8","0.0","18.3"
"Thaddeus Moss","CIN","13.0","121.0","1.0","0.0","18.1"
"Ryan Griffin","NYJ","11.2","106.5","1.2","0.0","17.6"
"Hunter Bryant","DET","10.4","122.8","0.8","0.0","17.2"
"Ross Dwelley","SF","11.4","120.1","0.9","0.0","17.2"
"Devin Asiasi","NE","10.4","117.1","1.1","0.5","17.1"
"Jace Sternberger","GB","10.8","101.5","1.2","0.0","17.1"
"Brycen Hopkins","LAR","12.5","127.9","0.7","0.1","16.9"
"Durham Smythe","MIA","13.1","108.0","1.0","0.0","16.4"
"Derek Carrier","LV","10.0","92.0","1.2","0.0","16.1"
"Luke Farrell","JAC","13.9","130.3","0.7","0.5","16.0"
"Stephen Carlson","CLE","8.1","87.8","1.1","0.0","15.4"
"John Bates","WAS","12.4","118.7","0.8","0.5","15.3"
"Jordan Thomas","IND","8.3","74.5","1.2","0.0","14.9"
"Blake Bell","KC","10.0","95.3","0.7","0.0","13.8"
"Tre' McKitty","LAC","7.7","81.6","0.4","0.0","10.6"
"Tommy Sweeney","BUF","6.0","75.5","0.5","0.0","10.6"
"J.P. Holtz","CHI","5.9","73.2","0.5","0.0","10.3"
"Tommy Tremble","CAR","8.6","85.4","0.4","0.5","9.9"
"Noah Togiai","IND","6.6","66.8","0.5","0.0","9.9"
"Evan Baylis","KC","6.5","67.5","0.5","0.0","9.8"
"Daniel Brown","NYJ","5.4","63.7","0.5","0.0","9.4"
"Richard Rodgers","PHI","5.0","65.7","0.5","0.0","9.4"
"Jeremy Sprinkle","DAL","6.1","62.6","0.5","0.0","9.0"
"Charlie Woerner","SF","5.4","63.9","0.4","0.0","9.0"
"Stephen Anderson","LAC","5.3","65.6","0.4","0.0","9.0"
"Johnny Mundt","LAR","5.3","57.0","0.5","0.0","8.6"
"Antony Auclair","HOU","4.9","54.6","0.5","0.0","8.5"
"Zach Gentry","PIT","6.2","55.2","0.5","0.0","8.4"
"Colby Parkinson","SEA","4.9","51.4","0.5","0.0","8.3"
"Jaeden Graham","ATL","4.7","60.0","0.3","0.0","7.7"
"Levine Toilolo","NYG","5.4","46.2","0.5","0.0","7.6"
"Eric Saubert","DEN","4.9","46.8","0.4","0.0","7.2"
"Josiah Deguara","GB","4.4","47.3","0.4","0.1","6.9"
"Josh Oliver","BAL","4.0","41.6","0.4","0.0","6.6"
"Kylen Granson","IND","5.2","56.1","0.1","0.0","6.3"
"Ross Travis","ARI","3.9","42.3","0.4","0.0","6.3"
"Ben Ellefson","JAC","4.1","41.8","0.3","0.0","6.2"
"Nick Keizer","KC","4.2","44.5","0.2","0.0","5.8"
"Jesse James","CHI","3.8","40.1","0.3","0.0","5.8"
"Mason Schreck","CIN","3.5","36.3","0.3","0.0","5.2"
"Alize Mack","DET","4.0","39.2","0.2","0.0","5.1"
"Caleb Wilson","PHI","3.5","36.2","0.2","0.0","4.9"
"Dominique Dafney","GB","2.4","25.8","0.2","0.0","3.9"
"Lee Smith","ATL","2.6","25.0","0.2","0.0","3.6"
"Garrett Griffin","NO","2.3","25.6","0.2","0.0","3.5"
"Temarrick Hemingway","WAS","2.4","26.7","0.1","0.0","3.5"
"Trevon Wesco","NYJ","2.3","24.3","0.1","0.0","3.1"
"Cethan Carter","MIA","2.5","24.2","0.1","0.0","3.1"
"Kaden Smith","NYG","2.5","22.1","0.1","0.0","3.0"
"Zach Davidson","MIN","1.8","19.1","0.2","0.0","3.0"
"Ricky Seals-Jones","WAS","1.5","18.3","0.2","0.0","2.9"
"Tanner Hudson","TB","1.5","15.8","0.2","0.0","2.5"
"Deon Yelder","WAS","1.3","14.1","0.2","0.0","2.4"
"Troy Fumagalli","NE","1.4","12.7","0.2","0.0","2.2"
"Brandon Dillon","MIN","1.3","13.9","0.1","0.0","2.0"
"Eric Tomlinson","BAL","1.2","11.7","0.1","0.0","1.6"
"Codey McElroy","TB","0.9","8.5","0.1","0.0","1.4"
"Isaac Nauta","GB","0.8","8.3","0.1","0.0","1.4"
"Kevin Rader","PIT","0.9","8.8","0.0","0.0","1.1"
"Tyrone Swoopes","WAS","0.9","9.6","0.0","0.0","1.0"
"Sean McKeon","DAL","0.9","9.4","0.0","0.0","0.9"
"Jordan Franks","CLE","0.8","8.0","0.0","0.0","0.9"
"Jason Croom","PHI","0.8","8.5","0.0","0.0","0.8"
"Tim Tebow","JAC","0.9","8.4","0.0","0.0","0.8"
"MyCole Pruitt","SF","0.8","8.4","0.0","0.0","0.8"
"Hakeem Butler","PHI","0.8","8.4","0.0","0.0","0.8"
"Jesper Horsted","CHI","0.8","8.3","0.0","0.0","0.8"
"Luke Stocker","TEN","0.8","6.2","0.0","0.0","0.7"
"Cole Hikutini","NYG","0.8","7.2","0.0","0.0","0.7"
"Matt LaCosse","NE","0.7","6.8","0.0","0.0","0.7"
"Colin Thompson","CAR","0.7","6.8","0.0","0.0","0.7"
""
""
