"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Tyreek Hill","KC","100.4","1,438.8","12.2","12.9","82.1","0.8","0.7","229.0"
"Davante Adams","GB","122.7","1,463.9","12.7","0.0","0.0","0.0","0.8","220.8"
"Stefon Diggs","BUF","113.4","1,477.0","9.2","2.4","15.5","0.1","1.2","202.5"
"Calvin Ridley","ATL","99.8","1,421.7","8.8","4.8","26.3","0.1","0.8","196.5"
"DeAndre Hopkins","ARI","122.1","1,468.4","7.6","0.9","4.4","0.0","1.5","190.2"
"D.K. Metcalf","SEA","86.7","1,301.3","9.9","0.3","1.3","0.0","1.4","187.1"
"Justin Jefferson","MIN","93.6","1,393.9","7.9","0.4","1.5","0.0","0.8","185.2"
"A.J. Brown","TEN","84.5","1,267.2","9.8","0.5","7.5","0.0","0.9","184.2"
"Keenan Allen","LAC","111.3","1,209.1","7.9","3.0","16.3","0.1","1.0","168.5"
"Amari Cooper","DAL","92.4","1,220.9","7.4","2.6","11.8","0.0","0.8","166.1"
"Mike Evans","TB","76.2","1,115.0","9.3","0.0","0.0","0.0","0.7","166.1"
"Terry McLaurin","WAS","91.3","1,232.2","6.5","1.8","12.1","0.1","0.7","162.4"
"Allen Robinson II","CHI","98.5","1,219.8","6.9","0.3","0.3","0.0","0.7","162.2"
"Robert Woods","LAR","98.1","1,088.4","6.0","17.0","106.1","0.9","0.8","159.2"
"Adam Thielen","MIN","79.7","1,022.8","9.1","3.2","14.5","0.3","0.7","158.9"
"CeeDee Lamb","DAL","83.8","1,088.8","6.6","8.5","61.4","0.6","0.8","156.5"
"Tyler Lockett","SEA","92.5","1,051.7","8.3","1.6","5.7","0.0","0.7","154.3"
"Julio Jones","TEN","78.7","1,114.2","7.3","0.5","-0.5","0.0","0.7","153.8"
"D.J. Moore","CAR","83.1","1,197.6","5.4","3.1","20.1","0.1","0.8","153.2"
"Cooper Kupp","LAR","93.0","1,068.8","7.1","3.9","23.6","0.1","0.7","151.1"
"Chris Godwin","TB","82.2","1,069.0","7.4","0.3","2.0","0.0","0.8","149.9"
"Odell Beckham Jr.","CLE","71.8","1,006.0","6.6","5.7","50.9","0.3","0.7","145.6"
"Tee Higgins","CIN","79.3","1,059.5","6.6","2.3","12.3","0.0","0.8","145.6"
"Courtland Sutton","DEN","74.3","1,055.2","6.7","1.7","9.4","0.0","0.8","145.0"
"Kenny Golladay","NYG","71.1","1,055.6","6.7","0.0","0.0","0.0","0.7","144.2"
"Ja'Marr Chase","CIN","73.4","1,060.7","6.1","1.5","8.2","0.0","1.2","141.5"
"Brandon Aiyuk","SF","72.4","921.6","6.3","14.6","82.4","0.7","0.7","140.8"
"D.J. Chark Jr.","JAC","75.3","1,006.3","6.4","0.3","3.3","0.0","0.6","138.2"
"Chase Claypool","PIT","69.9","895.8","6.9","8.3","44.0","0.6","0.9","137.3"
"Diontae Johnson","PIT","94.2","984.9","6.4","4.4","27.2","0.1","1.4","136.9"
"Brandin Cooks","HOU","75.1","1,052.2","5.3","0.8","6.8","0.0","0.7","136.4"
"Deebo Samuel","SF","70.7","905.3","4.7","13.5","99.2","0.7","0.8","131.4"
"Robby Anderson","CAR","80.3","990.3","5.2","2.5","12.3","0.1","0.8","130.4"
"JuJu Smith-Schuster","PIT","89.6","905.4","6.8","0.0","0.0","0.0","0.9","129.3"
"Michael Gallup","DAL","63.8","940.8","5.9","0.0","0.0","0.0","0.6","128.2"
"Jerry Jeudy","DEN","68.9","980.9","5.2","0.0","0.0","0.0","0.8","127.6"
"Tyler Boyd","CIN","83.1","924.3","5.2","2.1","15.6","0.0","0.8","124.0"
"Marquise Brown","BAL","61.0","823.4","7.0","1.5","8.0","0.0","0.6","123.8"
